"","TEAM_NAME","EFG_PCT","FTA_RATE","TM_TOV_PCT","OREB_PCT","OPP_EFG_PCT","OPP_FTA_RATE","OPP_TOV_PCT","OPP_OREB_PCT","EFG_PCT_RANK","FTA_RATE_RANK","TM_TOV_PCT_RANK","OREB_PCT_RANK","OPP_EFG_PCT_RANK","OPP_FTA_RATE_RANK","OPP_TOV_PCT_RANK","OPP_OREB_PCT_RANK"
"1","Agua Caliente Clippers","0.489","0.153","0.164","0.309","0.524","0.152","0.151","0.272","16","10","11","4","12","7","14","4"
"2","Austin Spurs","0.502","0.155","0.153","0.304","0.518","0.163","0.163","0.273","13","9","6","6","8","13","7","5"
"3","Canton Charge","0.523","0.157","0.15","0.265","0.537","0.125","0.154","0.297","7","7","3","15","16","2","12","13"
"4","Delaware Blue Coats","0.517","0.145","0.147","0.289","0.525","0.174","0.199","0.3","9","15","2","8","13","17","1","15"
"5","Erie BayHawks","0.563","0.149","0.17","0.279","0.503","0.139","0.155","0.294","2","13","14","10","5","4","10","11"
"6","Fort Wayne Mad Ants","0.477","0.15","0.159","0.33","0.504","0.172","0.168","0.297","18","12","8","2","6","15","5","13"
"7","G League Ignite","0.516","0.161","0.183","0.298","0.519","0.141","0.149","0.27","10","6","16","7","9","5","15","3"
"8","Greensboro Swarm","0.491","0.164","0.163","0.271","0.531","0.126","0.148","0.309","15","4","10","12","14","3","16","17"
"9","Iowa Wolves","0.526","0.172","0.191","0.268","0.514","0.169","0.145","0.297","6","3","18","13","7","14","17","12"
"10","Lakeland Magic","0.509","0.133","0.165","0.273","0.481","0.16","0.156","0.284","12","16","12","11","1","12","9","8"
"11","Long Island Nets","0.515","0.179","0.169","0.266","0.532","0.147","0.16","0.286","11","1","13","14","15","6","8","9"
"12","Memphis Hustle","0.499","0.148","0.151","0.288","0.521","0.156","0.195","0.289","14","14","4","9","10","10","3","10"
"13","Oklahoma City Blue","0.518","0.152","0.172","0.35","0.5","0.122","0.138","0.259","8","11","15","1","3","1","18","2"
"14","Raptors 905","0.567","0.155","0.153","0.32","0.54","0.159","0.175","0.277","1","8","7","3","17","11","4","7"
"15","Rio Grande Valley Vipers","0.531","0.131","0.16","0.305","0.502","0.154","0.164","0.301","5","17","9","5","4","9","6","16"
"16","Salt Lake City Stars","0.482","0.122","0.153","0.232","0.522","0.173","0.197","0.339","17","18","5","18","11","16","2","18"
"17","Santa Cruz Warriors","0.561","0.176","0.186","0.25","0.493","0.153","0.152","0.274","3","2","17","17","2","8","13","6"
"18","Westchester Knicks","0.535","0.162","0.134","0.256","0.553","0.182","0.155","0.255","4","5","1","16","18","18","11","1"
